GeneID;Gene;Base mean;log2(FC);StdErr;Wald-Stats;P-value;P-adj;;;;;;;;;;;
ENSG00000154646;TMPRSS15;1527,92098;-7,286205755;0,168167346;-43,32711386;0;0;;;;;;;;;;;
ENSG00000197632;SERPINB2;1913,303127;-7,030098086;0,141561722;-49,6610101;0;0;;;;;;;;;;;
ENSG00000242550;SERPINB10;856,1289372;-6,774451189;0,188764113;-35,88844864;4,63E-282;1,63E-279;;;;;;;;;;;
ENSG00000125730;C3;7109,590792;-6,726777276;0,076114481;-88,37710188;0;0;;;;;;;;;;;
ENSG00000123496;IL13RA2;1215,803352;-6,682452563;0,161733192;-41,31775588;0;0;;;;;;;;;;;
ENSG00000136167;LCP1;24087,09862;-6,309481679;0,052092363;-121,1210503;0;0;;;;;;;;;;;
ENSG00000167772;ANGPTL4;11675,97954;-6,141179363;0,060897726;-100,8441494;0;0;;;;;;;;;;;
ENSG00000140030;GPR65;245,5324267;-5,955948584;0,261826747;-22,74767057;1,51E-114;1,13E-112;;;;;;;;;;;
ENSG00000130755;GMFG;886,4174996;-5,907255535;0,149794407;-39,4357551;0;0;;;;;;;;;;;
ENSG00000105383;CD33;379,6621896;-5,464448939;0,201498795;-27,11901546;5,88E-162;8,37E-160;;;;;;;;;;;
ENSG00000198796;ALPK2;985,2117432;-5,263850957;0,126969201;-41,45769946;0;0;;;;;;;;;;;
ENSG00000161681;SHANK1;87,92672542;-5,219188935;0,330115451;-15,81019283;2,65E-56;7,01E-55;;;;;;;;;;;
ENSG00000221867;MAGEA3;475,5537111;-5,01312908;0,167824539;-29,87125192;4,65E-196;8,89E-194;;;;;;;;;;;
ENSG00000060566;CREB3L3;260,4579975;-4,968299585;0,218691203;-22,71833302;2,95E-114;2,18E-112;;;;;;;;;;;
ENSG00000125538;IL1B;418,0776333;-4,926752761;0,185974967;-26,49148346;1,21E-154;1,57E-152;;;;;;;;;;;
ENSG00000100985;MMP9;741,8091868;-4,80277662;0,330382699;-14,53701006;7,06E-48;1,48E-46;;;;;;;;;;;
ENSG00000139329;LUM;859,627846;-4,694622947;0,125247145;-37,48287379;1,75E-307;6,79E-305;;;;;;;;;;;
