ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MODULE_76	MODULE_76	40	-0.7170551046889408	-2.8040756032180285	1.1564371578889423e-10	6.140681308390283e-8	5.7213206758716095e-8	1286	tags=57%, list=10%, signal=52%	TPST1/CXCL2/IL1RAP/FPR1/BDKRB2/TLR1/FPR2/CXCL1/FN1/CD40/ADORA1/PTAFR/CD14/LY75/AOC3/PTGS2/C3AR1/CCR1/SAA1/ALOX5AP/IL1A/IL1B/C3
MODULE_84	MODULE_84	282	-0.3185228796152648	-1.7553638202327726	8.94958563702154e-7	2.376114986629219e-4	2.2138448681053284e-4	1839	tags=30%, list=15%, signal=26%	SRPX/IGFBP7/PLAU/ACD/CADPS2/IKBKG/CTSS/FCGRT/PDE4B/SLC38A10/RGS10/ITGB7/NAPSA/HLA-A/CD53/OLFML2B/PLEKHO2/B2M/SERPINE1/IL1RAP/FPR1/IL32/CD74/CHST15/GPNMB/CORO1A/CRYAB/C1S/SLC7A11/IL7R/DHRS2/APOE/TLR1/FPR2/CXCL1/FN1/COL6A2/QPCT/HSPG2/FERMT3/OLAH/APOC1/DEF6/PTPRCAP/SPIB/SRGN/VCAN/PLBD1/BAIAP3/CD14/HCLS1/MYL9/MDK/FABP4/CYBA/PRF1/NNMT/C3AR1/TGM2/IL1RN/COL1A2/CCR1/MFAP2/COL4A1/ADAMTSL4/TYMP/PSD4/PLIN2/LGALS9/ALOX5AP/HLA-DRB1/TNFRSF1B/ICAM1/KIF21B/HLA-DRB5/TGFBI/STAT4/KYNU/TAGLN/IL2RB/MMP9/IL1B/GMFG/GPR65/LCP1
MODULE_64	MODULE_64	222	-0.33005144577490697	-1.7713425726701277	8.272129978836201e-6	0.0014641670062540077	0.0013641758210712332	1728	tags=35%, list=14%, signal=30%	RHBDL1/SLC12A3/FCGRT/CAMK4/ITGA3/TRPM2/HTR7/ITGB7/CX3CL1/HLA-A/SSTR2/CFI/CD53/IL24/B2M/ITGAX/CXCL2/IL1RAP/FPR1/KIT/LEPR/GABRE/TGFA/CD82/IL7R/BDKRB2/APOE/GPA33/TLR1/FPR2/MST1R/CXCL1/NPY1R/ASGR2/CD96/GRB14/CD40/PFKFB4/RHAG/TNFRSF11B/ADORA1/TNC/PTAFR/LAG3/VIPR1/GPM6A/CLDN1/CD14/CD83/FXYD2/SLC4A4/IL11/SPN/C5AR1/C3AR1/FOLR1/ICAM4/KCNJ4/MCAM/GJA1/CALCRL/CCR1/TNFSF14/TNFRSF1B/ICAM1/EREG/HLA-DRB5/KCNK3/STAT4/SLC16A4/IL2RB/IL1A/PDK4/IL1B/GPR65/IL13RA2/C3
MODULE_27	MODULE_27	166	-0.348666953100815	-1.788124549843846	1.9476125704420636e-5	0.0025854556872618394	0.0024088892318625526	1581	tags=32%, list=13%, signal=28%	EPHB2/ITGB7/S1PR2/HLA-A/CFI/B2M/ITGAX/HFE/IL1RAP/ITGA9/FPR1/KIT/LEPR/GABRE/GRIK2/IL7R/NPR2/BDKRB2/GPA33/TLR1/FPR2/PLA2R1/MST1R/NPY1R/ASGR2/CD96/ITGB6/CD40/ITGB3/TNFRSF11B/ADORA1/TNC/ADGRB2/PTAFR/VIPR1/CD14/SELP/C5AR1/C3AR1/FOLR1/VDR/CALCRL/CCR1/EFEMP2/TNFRSF1B/ICAM1/HLA-DRB5/TIE1/IL2RB/PDK4/GPR65/IL13RA2/TMPRSS15
MODULE_289	MODULE_289	51	-0.5082943144811854	-2.1168031023887144	5.601124674083259e-5	0.003378287017886921	0.003147576367146105	1281	tags=35%, list=10%, signal=32%	CXCL2/FPR1/BDKRB2/FPR2/CXCL1/NPY1R/GRB14/ADORA1/PTAFR/UCN/ADGRB3/C5AR1/C3AR1/GNAO1/CCR1/PTGER3/GPR65/C3
MODULE_213	MODULE_213	41	0.6024228181152506	2.006220747950401	6.170074681882214e-5	0.003378287017886921	0.003147576367146105	2149	tags=46%, list=18%, signal=38%	ALDH3A1/ID4/SOX4/TSPAN8/TRIM29/PRKCQ/SOD3/NTSR1/TFF1/TFF3/CXCR4/NRG1/PTPRC/WFDC2/TOB1/HMGA2/ELN/JUNB/KRT5
MODULE_46	MODULE_46	172	-0.3388914745249638	-1.7647328532010338	6.362122444231489e-5	0.003378287017886921	0.003147576367146105	1558	tags=28%, list=13%, signal=25%	BCAT1/S1PR2/CX3CL1/HLA-A/CFI/CD53/IL24/B2M/IL16/HFE/CXCL2/IL1RAP/TGFA/C1S/IL7R/CFB/APOE/EGF/TLR1/MST1R/CXCL1/FN1/NPY1R/S100B/CD40/PTAFR/VIPR1/CD14/CD83/MDK/PRF1/SELP/AFP/IL11/C5AR1/C3AR1/CCR1/TNFSF14/SAA1/EREG/HLA-DRB5/MIA/TGFBI/DPP4/IL2RB/IL1A/IL1B/GPR65/C3
MODULE_75	MODULE_75	174	-0.3353323847840321	-1.7407089364069153	5.0727402471855956e-5	0.003378287017886921	0.003147576367146105	1558	tags=28%, list=13%, signal=24%	BCAT1/CX3CL1/HLA-A/CFI/CD53/IL24/B2M/IL16/HFE/CXCL2/IL1RAP/TGFA/C1S/IL7R/CFB/APOE/EGF/TLR1/MST1R/CXCL1/FN1/NPY1R/S100B/PTAFR/VIPR1/CD14/NQO1/CD83/MDK/PRF1/SELP/IL11/C5AR1/C3AR1/CCR1/TNFSF14/SAA1/EREG/HLA-DRB5/MIA/TGFBI/DPP4/IL2RB/IL1A/IL1B/GMFG/GPR65/C3
MODULE_100	MODULE_100	284	0.3824291009363911	1.6673931469188121	4.393973543185623e-5	0.003378287017886921	0.003147576367146105	1505	tags=24%, list=12%, signal=22%	INHBB/NAP1L3/NRG2/DPYSL3/CD24/SPOCK1/ATP9A/PARM1/RELN/AMPH/PLCB1/LPL/SOX4/AQP1/ELMO1/THBS2/TSPAN8/MTSS1/CCND2/NCALD/LMO2/SYNGR1/SFRP1/BCL11A/AKR1C1/MAOA/SOD3/ELF3/RGS7/KCNK1/SYT1/FBXL7/SERPINA3/KHDRBS3/SNAP25/CDH18/PALM/FOXO4/CDH11/SETBP1/CADM1/PLXNA2/RNASE1/ATP2B2/SYNE1/NEO1/EDA/EPHA4/FAM107A/MEF2C/ARMCX2/RALGPS1/PRSS2/GABBR2/RASSF2/ATP1B1/SCG5/MEGF9/PHLDA1/WFDC2/TMCC2/PTPRZ1/SELENOP/FEZ1/TSPYL2/PSPHP1/LDB2/IGFBP2
MODULE_66	MODULE_66	288	0.37962297270410583	1.655080014164503	3.245972526962691e-5	0.003378287017886921	0.003147576367146105	1505	tags=24%, list=12%, signal=21%	INHBB/NAP1L3/NRG2/DPYSL3/CD24/SPOCK1/ATP9A/PARM1/RELN/AMPH/PLCB1/LPL/SOX4/AQP1/ELMO1/THBS2/TSPAN8/MTSS1/CCND2/NCALD/LMO2/SYNGR1/SFRP1/BCL11A/AKR1C1/MAOA/SOD3/ELF3/RGS7/KCNK1/SYT1/FBXL7/SERPINA3/KHDRBS3/SNAP25/CDH18/PALM/FOXO4/CDH11/SETBP1/CADM1/PLXNA2/RNASE1/ATP2B2/SYNE1/NEO1/EDA/EPHA4/FAM107A/MEF2C/ARMCX2/RALGPS1/PRSS2/GABBR2/RASSF2/ATP1B1/SCG5/MEGF9/PHLDA1/WFDC2/TMCC2/PTPRZ1/SELENOP/FEZ1/TSPYL2/PSPHP1/LDB2/IGFBP2
