ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BENPORATH_EED_TARGETS	BENPORATH_EED_TARGETS	432	0.4543523793811163	2.034238084962584	4.2285320009189036e-14	2.414068919324602e-10	2.2286589188001002e-10	2189	tags=36%, list=16%, signal=31%	INHBB/FOXA2/NRG2/COL4A5/PCSK1N/VSTM4/KIRREL3/PARM1/BARX2/SLCO4A1/NTN4/RELN/SLC9A2/RPS6KA6/PRKG1/SEMA6D/FZD8/FOXQ1/PLCB1/EPB41L4B/LPL/SIX3/BMP6/CLTRN/MTSS1/IL20RA/ASTN1/LRRC71/FGF5/SORCS3/CAMK2B/EGR3/STC2/FRMPD4/IGF2/SFRP1/EPHB1/SDC2/ONECUT1/CREG2/FLRT2/SUSD4/SIX2/KCNMA1/SCIN/FLI1/DENND3/GALNT18/GFRA1/SOX21/PCDH17/TTPA/KLF4/SOD3/DUOXA1/DUOX2/COL4A6/DUOXA2/CFAP299/HOXC5/SHH/LRCH2/CH25H/NKX2-5/PAX9/OSR1/ESPN/SLFN11/DMRT2/MNX1/VAX2/DLL4/FRMD3/HOPX/ST8SIA5/SLCO2A1/HS6ST3/CEMIP/PLXNA2/MKX/FOXF2/SHISA2/MDGA1/CASZ1/F2R/ZNF517/EN2/MSX2/TRIM7/THBD/RNF152/MESP1/ARHGAP20/SPOCK3/BTG2/NOL4/DUSP4/HOXD1/GPM6B/DUOX1/NRG1/TBX1/KCNK12/EEF1D/PKNOX2/POU3F2/ADRB1/HEY1/EPB41L4A-DT/CRLF1/CSMD3/BRINP2/SOX5/FOXC1/PKP1/MYO5B/ANXA2R/FEZ1/FBP1/MIR137HG/CHRD/APBB1IP/PIP5K1B/GNA14/NPR3/CXorf58/RAB24/ETV7/HSPA6/ANKRD18B/STK17A/PTPRU/ANKRD19P/CITED1/CSMD1/HES2/DOCK11/NKX2-8/KCNC4/ONECUT2/ADAMTS5/APOO/NKX3-1/BACH2/REPS2/NR4A3/BMP3/EGFR/PRELID1/MORF4L2/HLX/PLEC/HOXC9/LMX1B
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_ES_WITH_H3K27ME3	480	0.4305644228720804	1.9340345607003768	1.1263572242157684e-12	3.215186696523911e-9	2.968247695604396e-9	1933	tags=34%, list=14%, signal=31%	CHRDL1/RPS6KA2/REEP1/FOXA2/NRG2/COL4A5/NGFR/KIRREL3/PARM1/BARX2/SLC9A2/RPS6KA6/PRKG1/SEMA6D/AMPH/FOXQ1/LPL/SIX3/MAN1C1/BMP6/THBS2/CLTRN/ASTN1/LRRC71/FGF5/HR/SORCS3/CAMK2B/EGR3/SLC6A20/IGFBP1/STC2/KLHL13/ENTPD3/FRMPD4/SFRP1/EPHB1/ONECUT1/FLRT2/IRX1/SUSD4/MLXIPL/SIX2/KCNMA1/TBXAS1/SCIN/FLI1/GALNT18/PCDH17/TTPA/KLF4/DUOXA1/DUOX2/COL4A6/RCSD1/DUOXA2/RTL5/HOXC5/SHH/TNFSF9/NPR1/LRCH2/TCEAL1/CH25H/GLB1L2/NKX2-5/PAX9/MAST4/OSR1/ESPN/SLFN11/EIF4E3/DMRT2/MNX1/VAX2/DLL4/FRAT1/FRMD3/ANKRD35/CIART/ST8SIA5/SLCO2A1/HS6ST3/CEMIP/DNER/PLXNA2/MKX/FOXF2/DUSP6/CASZ1/CSF1/SYNE1/F2R/EN2/MSX2/TRIM7/THBD/MESP1/ARHGAP20/EPHA4/TMEM255B/SPOCK3/KCNF1/FBLN5/BTG2/NOL4/DUSP4/HOXD1/GPM6B/GABBR2/DUOX1/RGS9/NRG1/TBX1/KCNK12/RAB9B/PKNOX2/ERO1B/POU3F2/ADRB1/HCN4/KCNS3/MEIS1/FBXO25/SPON2/HEY1/EPB41L4A-DT/EPHA3/CRLF1/CSMD3/BRINP2/FOXC1/PKP1/MYO5B/ANXA2R/GKAP1/FEZ1/NPAS2/FBP1/MIR137HG/CHRD/PIP5K1B/FAM167A/PARD3B/GNA14/CHD5/NPR3/DDX25/CCDC96/ETV7/ATP1A3/HSPA6/ANKRD18B/CYP2J2/PTPRU/ANKRD19P/CITED1/ST8SIA4/CSMD1/KIAA1191/HES2/SLC35G1/NKX2-8/KCNC4/EPHA10
BENPORATH_SUZ12_TARGETS	BENPORATH_SUZ12_TARGETS	446	0.43139385577105926	1.9328666314633816	3.295546304864862e-11	6.271424618157831e-8	5.789754508231004e-8	2090	tags=35%, list=16%, signal=31%	LBH/FOXA2/NRG2/COL4A5/PCSK1N/NGFR/SLITRK5/KIRREL3/PARM1/BARX2/SLCO4A1/SLC9A2/NRK/RPS6KA6/PRKG1/SEMA6D/PLCB1/LPL/SIX3/NDP/CLTRN/ASTN1/LRRC71/FGF5/SDR16C5/SORCS3/EGR3/SLC6A20/FRMPD4/IGF2/SFRP1/EPHB1/FAM24B/SDC2/ONECUT1/FLRT2/IRX1/SUSD4/SIX2/SMAD6/GAS7/KCNMA1/FLI1/GALNT18/IL1RAPL1/GFRA1/SOX21/PCDH17/KLF4/DUOXA1/DUOX2/COL4A6/CUZD1/RCSD1/CDH13/DUOXA2/CFAP299/HOXC5/SHH/IGFBP5/LRCH2/EFNB1/TCEAL1/CH25H/PAX9/OSR1/ESPN/SLFN11/EIF4E3/DMRT2/FOXO4/CDH11/MNX1/VAX2/DLL4/FRMD3/HOPX/SLCO2A1/HS6ST3/CEMIP/DNER/PLXNA2/MKX/DUSP6/SHISA2/CASZ1/CSF1/F2R/EN2/THBD/MESP1/ARHGAP20/EPHA4/PTCHD1/SPOCK3/CYP4X1/BTG2/NOL4/DUSP4/HOXD1/GPM6B/GABBR2/DUOX1/NRG1/TBX1/KCNK12/RAB9B/PKNOX2/ADRB1/HCN4/ITPKB/SPON2/HEY1/EPB41L4A-DT/CRLF1/CSMD3/BRINP2/PKP1/MYO5B/ANXA2R/TCEAL3/FEZ1/NPAS2/FBP1/MIR137HG/CHRD/APBB1IP/PIP5K1B/TMSB15B/GNA14/ADAMTSL3/NPR3/CLIC6/HSPA6/ANKRD18B/NHS/CYP2J2/PTPRU/ANKRD19P/CITED1/ST8SIA4/CSMD1/HES2/NKX2-8/KCNC4/EPHA10/TMEM164/ONECUT2/ADAMTS5/NKX3-1/LRRC8C/REPS2/GPR83/NR4A3/BMP3/GPR137B
NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	44	-0.7037747334396629	-2.803936592088787	4.2904321426173014e-10	6.123519275550543e-7	5.653208878443376e-7	2609	tags=89%, list=19%, signal=72%	ZNF778/ZFPM1/EMC8/TCF25/FANCA/RNF166/GSE1/CDT1/ZCCHC14/ZC3H18/ANKRD11/CDK10/RPL13/COX4I1/APRT/CHMP1A/DEF8/TRAPPC2L/CTU2/KLHDC4/SPG7/TUBB3/MVD/SPATA33/ZNF276/MC1R/VPS9D1/PIEZO1/SPIRE2/MAP1LC3B/GAS8/SPATA2L/SLC7A5/CA5A/C16orf74/CYBA/GALNS/DBNDD1/SNAI3
ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP	ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP	42	-0.6839190069722599	-2.731257980850469	1.221171607074946e-9	1.3943337409581733e-6	1.2872434182366852e-6	2741	tags=74%, list=20%, signal=59%	GOT2/PSMD7/NDRG4/TCF25/FANCA/COQ9/CMIP/C16orf87/CHD9/CSNK2A2/GAN/CIAPIN1/CNOT1/SLC38A7/IRX3/RSPRY1/DEF8/CX3CL1/POLR2C/CETP/FTO/ZNF276/AKTIP/CPNE2/MC1R/SPIRE2/GAS8/RPGRIP1L/NLRC5/DOK4/DBNDD1
BENPORATH_PRC2_TARGETS	BENPORATH_PRC2_TARGETS	249	0.4652193541775582	2.001752503320861	1.8632441180190745e-9	1.7728767782951493e-6	1.6367128594599134e-6	2050	tags=39%, list=15%, signal=34%	FOXA2/NRG2/COL4A5/KIRREL3/PARM1/BARX2/SLC9A2/RPS6KA6/PRKG1/SEMA6D/LPL/SIX3/CLTRN/ASTN1/LRRC71/FGF5/SORCS3/EGR3/FRMPD4/SFRP1/EPHB1/ONECUT1/FLRT2/SUSD4/SIX2/KCNMA1/FLI1/GALNT18/PCDH17/KLF4/DUOXA1/DUOX2/COL4A6/DUOXA2/HOXC5/SHH/LRCH2/CH25H/PAX9/OSR1/ESPN/SLFN11/DMRT2/MNX1/VAX2/DLL4/FRMD3/SLCO2A1/HS6ST3/CEMIP/PLXNA2/MKX/CASZ1/F2R/EN2/THBD/MESP1/ARHGAP20/SPOCK3/BTG2/NOL4/DUSP4/HOXD1/GPM6B/DUOX1/NRG1/TBX1/KCNK12/PKNOX2/ADRB1/HEY1/EPB41L4A-DT/CRLF1/CSMD3/BRINP2/PKP1/MYO5B/ANXA2R/FEZ1/FBP1/MIR137HG/CHRD/PIP5K1B/GNA14/NPR3/HSPA6/ANKRD18B/PTPRU/ANKRD19P/CITED1/CSMD1/HES2/NKX2-8/KCNC4/ONECUT2/NKX3-1/REPS2/NR4A3
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	136	0.5299321659029606	2.1364678767802165	1.0877085851716136e-8	8.871040446778202e-6	8.18970960293875e-6	1458	tags=37%, list=11%, signal=33%	AFF3/ABCG1/PPP2R2C/DSCAM/PLD5/SLC9A2/COBL/FOXQ1/PRDM16/GALNT14/DACT2/BMP6/TMEM150C/HR/SORCS3/IGF2/SFRP1/PTGFRN/PDGFB/VAT1L/ST8SIA6/SIX2/FLI1/PRR16/KCNK1/HOXC5/RYR2/LRRC26/EIF4E3/DMRT2/CDH11/NFATC2/FOXF2/IRF5/SYT2/ADRA2C/CASZ1/ATP2B2/B3GNT7/MSX2/HOXD1/GABBR2/TBX1/KCNK12/RTN4R/KCNS3/WNT9A/GABRB1/NPAS2/DNAH11
VECCHI_GASTRIC_CANCER_EARLY_DN	VECCHI_GASTRIC_CANCER_EARLY_DN	183	0.4903461363150022	2.0411420399565907	1.538253604859906e-8	1.0977362287681503e-5	1.0134257630965196e-5	1552	tags=33%, list=12%, signal=30%	AFF3/CHRDL1/LONRF2/PELI2/LINC00261/F13A1/SHISA3/DTNA/DMD/SLAMF7/PLCXD3/NTN4/ID4/RPS6KA6/STOX2/SOX2/PRDM16/RORA/ADGRG2/KLF15/RBPMS2/CLTRN/BEX5/BEX2/ENTPD3/SULT1B1/CGNL1/SFRP1/SUSD4/CDH19/MAGEH1/KLF9/AKR1C1/MAOA/COL4A6/PCDH20/USP51/C7/SLC26A7/ADTRP/SETBP1/DNER/ARMCX1/ACE2/FAM107A/ARMCX2/GPM6B/LIFR/RAB9B/ERO1B/IRX2/BEX1/GLUL/PTPRZ1/ZNF844/SELENOP/NR3C2/PLPP3/IL6R/GSPT2/CFH
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	254	0.4418824162381897	1.9043194920841857	3.207515450373964e-8	2.0346339673538847e-5	1.8783660654997004e-5	1439	tags=20%, list=11%, signal=18%	AFF3/INHBB/LONRF2/ABCG1/PPP2R2C/ZNF704/AGR2/SPDEF/LRRN1/FAM110B/EVL/DEGS2/TMEM150C/TTC9/LRP3/C9orf152/HID1/GPRC5C/KCTD15/EFR3B/AR/SHANK2/TBC1D30/CACNG4/MXRA8/TFF1/SLC2A10/CADM1/SOX13/DEPTOR/TFF3/WFS1/NPDC1/RALGPS1/MAPK9/FZD4/KRT19/MEGF9/RHPN1/ERGIC1/KLF2/MTERF2/NUDT4/DLG3/MYO5B/PRR36/PDCL3/MGAT4A/GP1BB/HECTD4
RIGGI_EWING_SARCOMA_PROGENITOR_UP	RIGGI_EWING_SARCOMA_PROGENITOR_UP	269	0.43477110022014004	1.8825850196121048	5.098865107319568e-8	2.9109420897687412e-5	2.6873702728788505e-5	1565	tags=27%, list=12%, signal=24%	REEP1/LBH/ZNF704/SHISA3/DAPK1/ITGB2-AS1/NGFR/DMD/FAM43A/CACHD1/PARM1/RELN/ID4/NRK/IGSF3/SEMA6D/ITGB2/SOX2/FZD8/A2M/LPL/ST6GAL1/ADGRG2/S1PR3/FLRT3/KALRN/SAMD5/TCF4/TNFSF15/CCND2/LMO2/KLHL13/ENTPD3/EPHB1/FLRT2/SCIN/PCDH17/PAG1/GDF15/IGFBP5/JCAD/NR2F1/SLFN11/PRELP/CDH11/HS6ST1/TRMT9B/DUSP6/TCF7L1/F2R/CRIP2/EPHA4/JAG1/ARHGEF6/BTG2/BAMBI/CARD16/FZD4/FMOD/G0S2/MEIS1/KIAA1549L/EPHA3/PKP1/GYG2/GP1BB/PIK3R1/NR3C2/LDB2/IGFBP2/GNA14/RRAGD/NPR3
