ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BENPORATH_EED_TARGETS	BENPORATH_EED_TARGETS	406	0.45805783261015387	2.0434523799879325	1.3579787018307728e-13	3.7099978134016713e-10	3.336339252708446e-10	2158	tags=38%, list=18%, signal=32%	INHBB/FOXA2/NRG2/COL4A5/PCSK1N/VSTM4/KIRREL3/PARM1/BARX2/SLCO4A1/NTN4/RELN/SLC9A2/RPS6KA6/PRKG1/SEMA6D/FZD8/FOXQ1/PLCB1/EPB41L4B/LPL/SIX3/BMP6/CLTRN/MTSS1/IL20RA/ASTN1/LRRC71/FGF5/SORCS3/CAMK2B/EGR3/STC2/FRMPD4/IGF2/SFRP1/EPHB1/SDC2/ONECUT1/CREG2/FLRT2/SUSD4/SIX2/KCNMA1/SCIN/FLI1/DENND3/GALNT18/GFRA1/SOX21/PCDH17/TTPA/KLF4/SOD3/DUOXA1/DUOX2/COL4A6/DUOXA2/CFAP299/HOXC5/SHH/LRCH2/CH25H/NKX2-5/PAX9/OSR1/ESPN/SLFN11/DMRT2/MNX1/VAX2/DLL4/FRMD3/HOPX/ST8SIA5/SLCO2A1/HS6ST3/CEMIP/PLXNA2/MKX/FOXF2/SHISA2/MDGA1/CASZ1/F2R/ZNF517/EN2/MSX2/TRIM7/THBD/RNF152/MESP1/ARHGAP20/SPOCK3/BTG2/NOL4/DUSP4/HOXD1/GPM6B/DUOX1/NRG1/TBX1/KCNK12/EEF1D/PKNOX2/POU3F2/ADRB1/HEY1/EPB41L4A-DT/CRLF1/CSMD3/BRINP2/SOX5/FOXC1/PKP1/MYO5B/ANXA2R/FEZ1/FBP1/MIR137HG/CHRD/APBB1IP/PIP5K1B/GNA14/NPR3/CXorf58/RAB24/ETV7/HSPA6/ANKRD18B/STK17A/PTPRU/ANKRD19P/CITED1/CSMD1/HES2/DOCK11/NKX2-8/KCNC4/ONECUT2/ADAMTS5/APOO/NKX3-1/BACH2/REPS2/NR4A3/BMP3/EGFR/PRELID1/MORF4L2/HLX/PLEC/HOXC9
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_ES_WITH_H3K27ME3	453	0.43542944889570634	1.9497140473194705	2.4228552654677158e-12	3.3096202926288998e-9	2.976286415579815e-9	1662	tags=34%, list=14%, signal=30%	CHRDL1/RPS6KA2/REEP1/FOXA2/NRG2/COL4A5/NGFR/KIRREL3/PARM1/BARX2/SLC9A2/RPS6KA6/PRKG1/SEMA6D/AMPH/FOXQ1/LPL/SIX3/MAN1C1/BMP6/THBS2/CLTRN/ASTN1/LRRC71/FGF5/HR/SORCS3/CAMK2B/EGR3/SLC6A20/IGFBP1/STC2/KLHL13/ENTPD3/FRMPD4/SFRP1/EPHB1/ONECUT1/FLRT2/IRX1/SUSD4/MLXIPL/SIX2/KCNMA1/TBXAS1/SCIN/FLI1/GALNT18/PCDH17/TTPA/KLF4/DUOXA1/DUOX2/COL4A6/RCSD1/DUOXA2/RTL5/HOXC5/SHH/TNFSF9/NPR1/LRCH2/TCEAL1/CH25H/GLB1L2/NKX2-5/PAX9/MAST4/OSR1/ESPN/SLFN11/EIF4E3/DMRT2/MNX1/VAX2/DLL4/FRAT1/FRMD3/ANKRD35/CIART/ST8SIA5/SLCO2A1/HS6ST3/CEMIP/DNER/PLXNA2/MKX/FOXF2/DUSP6/CASZ1/CSF1/SYNE1/F2R/EN2/MSX2/TRIM7/THBD/MESP1/ARHGAP20/EPHA4/TMEM255B/SPOCK3/KCNF1/FBLN5/BTG2/NOL4/DUSP4/HOXD1/GPM6B/GABBR2/DUOX1/RGS9/NRG1/TBX1/KCNK12/RAB9B/PKNOX2/ERO1B/POU3F2/ADRB1/HCN4/KCNS3/MEIS1/FBXO25/SPON2/HEY1/EPB41L4A-DT/EPHA3/CRLF1/CSMD3/BRINP2/FOXC1/PKP1/MYO5B/ANXA2R/GKAP1/FEZ1/NPAS2/FBP1/MIR137HG/CHRD/PIP5K1B/FAM167A/PARD3B/GNA14/CHD5/NPR3/DDX25/CCDC96/ETV7/ATP1A3/HSPA6/ANKRD18B
BENPORATH_SUZ12_TARGETS	BENPORATH_SUZ12_TARGETS	421	0.43325906231838895	1.9329747042949756	3.3161649470225147e-11	3.0199208784218365e-8	2.7157645566142277e-8	2084	tags=37%, list=17%, signal=32%	LBH/FOXA2/NRG2/COL4A5/PCSK1N/NGFR/SLITRK5/KIRREL3/PARM1/BARX2/SLCO4A1/SLC9A2/NRK/RPS6KA6/PRKG1/SEMA6D/PLCB1/LPL/SIX3/NDP/CLTRN/ASTN1/LRRC71/FGF5/SDR16C5/SORCS3/EGR3/SLC6A20/FRMPD4/IGF2/SFRP1/EPHB1/FAM24B/SDC2/ONECUT1/FLRT2/IRX1/SUSD4/SIX2/SMAD6/GAS7/KCNMA1/FLI1/GALNT18/IL1RAPL1/GFRA1/SOX21/PCDH17/KLF4/DUOXA1/DUOX2/COL4A6/CUZD1/RCSD1/CDH13/DUOXA2/CFAP299/HOXC5/SHH/IGFBP5/LRCH2/EFNB1/TCEAL1/CH25H/PAX9/OSR1/ESPN/SLFN11/EIF4E3/DMRT2/FOXO4/CDH11/MNX1/VAX2/DLL4/FRMD3/HOPX/SLCO2A1/HS6ST3/CEMIP/DNER/PLXNA2/MKX/DUSP6/SHISA2/CASZ1/CSF1/F2R/EN2/THBD/MESP1/ARHGAP20/EPHA4/PTCHD1/SPOCK3/CYP4X1/BTG2/NOL4/DUSP4/HOXD1/GPM6B/GABBR2/DUOX1/NRG1/TBX1/KCNK12/RAB9B/PKNOX2/ADRB1/HCN4/ITPKB/SPON2/HEY1/EPB41L4A-DT/CRLF1/CSMD3/BRINP2/PKP1/MYO5B/ANXA2R/TCEAL3/FEZ1/NPAS2/FBP1/MIR137HG/CHRD/APBB1IP/PIP5K1B/TMSB15B/GNA14/ADAMTSL3/NPR3/CLIC6/HSPA6/ANKRD18B/NHS/CYP2J2/PTPRU/ANKRD19P/CITED1/ST8SIA4/CSMD1/HES2/NKX2-8/KCNC4/EPHA10/TMEM164/ONECUT2/ADAMTS5/NKX3-1/LRRC8C/REPS2/GPR83/NR4A3/BMP3/GPR137B
NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	44	-0.7031092471349342	-2.816934520516535	1.9088159366063072e-10	1.303721284702108e-7	1.1724148410629266e-7	2403	tags=89%, list=20%, signal=72%	ZNF778/ZFPM1/EMC8/TCF25/FANCA/RNF166/GSE1/CDT1/ZCCHC14/ZC3H18/ANKRD11/CDK10/RPL13/COX4I1/APRT/CHMP1A/DEF8/TRAPPC2L/CTU2/KLHDC4/SPG7/TUBB3/MVD/SPATA33/ZNF276/MC1R/VPS9D1/PIEZO1/SPIRE2/MAP1LC3B/GAS8/SPATA2L/SLC7A5/CA5A/C16orf74/CYBA/GALNS/DBNDD1/SNAI3
BENPORATH_PRC2_TARGETS	BENPORATH_PRC2_TARGETS	235	0.46751539719817203	1.99936607705215	3.6909593839004287e-9	2.016740207363194e-6	1.8136208846365474e-6	2045	tags=42%, list=17%, signal=35%	FOXA2/NRG2/COL4A5/KIRREL3/PARM1/BARX2/SLC9A2/RPS6KA6/PRKG1/SEMA6D/LPL/SIX3/CLTRN/ASTN1/LRRC71/FGF5/SORCS3/EGR3/FRMPD4/SFRP1/EPHB1/ONECUT1/FLRT2/SUSD4/SIX2/KCNMA1/FLI1/GALNT18/PCDH17/KLF4/DUOXA1/DUOX2/COL4A6/DUOXA2/HOXC5/SHH/LRCH2/CH25H/PAX9/OSR1/ESPN/SLFN11/DMRT2/MNX1/VAX2/DLL4/FRMD3/SLCO2A1/HS6ST3/CEMIP/PLXNA2/MKX/CASZ1/F2R/EN2/THBD/MESP1/ARHGAP20/SPOCK3/BTG2/NOL4/DUSP4/HOXD1/GPM6B/DUOX1/NRG1/TBX1/KCNK12/PKNOX2/ADRB1/HEY1/EPB41L4A-DT/CRLF1/CSMD3/BRINP2/PKP1/MYO5B/ANXA2R/FEZ1/FBP1/MIR137HG/CHRD/PIP5K1B/GNA14/NPR3/HSPA6/ANKRD18B/PTPRU/ANKRD19P/CITED1/CSMD1/HES2/NKX2-8/KCNC4/ONECUT2/NKX3-1/REPS2/NR4A3
ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP	ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP	42	-0.6827254087450426	-2.7064778936073135	7.476282797938382e-9	3.4042007673279435e-6	3.0613410614716114e-6	2530	tags=74%, list=21%, signal=59%	GOT2/PSMD7/NDRG4/TCF25/FANCA/COQ9/CMIP/C16orf87/CHD9/CSNK2A2/GAN/CIAPIN1/CNOT1/SLC38A7/IRX3/RSPRY1/DEF8/CX3CL1/POLR2C/CETP/FTO/ZNF276/AKTIP/CPNE2/MC1R/SPIRE2/GAS8/RPGRIP1L/NLRC5/DOK4/DBNDD1
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	126	0.540491189240993	2.1565011455207683	3.421225781940844e-8	1.3352555480374836e-5	1.2007730789548766e-5	1458	tags=40%, list=12%, signal=35%	AFF3/ABCG1/PPP2R2C/DSCAM/PLD5/SLC9A2/COBL/FOXQ1/PRDM16/GALNT14/DACT2/BMP6/TMEM150C/HR/SORCS3/IGF2/SFRP1/PTGFRN/PDGFB/VAT1L/ST8SIA6/SIX2/FLI1/PRR16/KCNK1/HOXC5/RYR2/LRRC26/EIF4E3/DMRT2/CDH11/NFATC2/FOXF2/IRF5/SYT2/ADRA2C/CASZ1/ATP2B2/B3GNT7/MSX2/HOXD1/GABBR2/TBX1/KCNK12/RTN4R/KCNS3/WNT9A/GABRB1/NPAS2/DNAH11
VECCHI_GASTRIC_CANCER_EARLY_DN	VECCHI_GASTRIC_CANCER_EARLY_DN	172	0.49400800072084516	2.0471098738852604	7.034264644939106e-8	2.402201376246705e-5	2.1602596949062993e-5	1552	tags=35%, list=13%, signal=31%	AFF3/CHRDL1/LONRF2/PELI2/LINC00261/F13A1/SHISA3/DTNA/DMD/SLAMF7/PLCXD3/NTN4/ID4/RPS6KA6/STOX2/SOX2/PRDM16/RORA/ADGRG2/KLF15/RBPMS2/CLTRN/BEX5/BEX2/ENTPD3/SULT1B1/CGNL1/SFRP1/SUSD4/CDH19/MAGEH1/KLF9/AKR1C1/MAOA/COL4A6/PCDH20/USP51/C7/SLC26A7/ADTRP/SETBP1/DNER/ARMCX1/ACE2/FAM107A/ARMCX2/GPM6B/LIFR/RAB9B/ERO1B/IRX2/BEX1/GLUL/PTPRZ1/ZNF844/SELENOP/NR3C2/PLPP3/IL6R/GSPT2/CFH
VERHAAK_GLIOBLASTOMA_MESENCHYMAL	VERHAAK_GLIOBLASTOMA_MESENCHYMAL	151	-0.41803608904098094	-2.127265656573522	8.442468239195077e-8	2.5627581366089943e-5	2.3046457158223755e-5	2792	tags=43%, list=23%, signal=34%	PLK3/COL1A1/FNDC3B/POLD4/GRN/THEMIS2/PYGL/SP100/TGOLN2/TLR2/WIPF1/SLC10A3/CYBRD1/MGST2/HEXA/ALDH3B1/FMNL1/MYH9/TNFAIP3/FURIN/IL1R1/RBM47/MAPK13/STAB1/RELB/PLAU/CEBPB/PROCR/TRADD/TRPM2/DSE/COL8A2/SERPINE1/HFE/LAMB1/LTBP2/FHOD1/CNN2/BDKRB2/PTPN22/CASP8/FPR3/LOX/PLBD1/MAN1A1/MRC2/CD14/LY75/PLA2G15/ADAM12/C5AR1/CYTIP/VDR/COL1A2/THBS1/EFEMP2/TYMP/COPZ2/DSC2/TNFRSF1B/TGFBI/ST14/FES/KYNU/LCP1
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	240	0.44103992435976125	1.890949775526337	1.4856267462517785e-7	4.058732270759859e-5	3.6499503428964745e-5	1439	tags=21%, list=12%, signal=19%	AFF3/INHBB/LONRF2/ABCG1/PPP2R2C/ZNF704/AGR2/SPDEF/LRRN1/FAM110B/EVL/DEGS2/TMEM150C/TTC9/LRP3/C9orf152/HID1/GPRC5C/KCTD15/EFR3B/AR/SHANK2/TBC1D30/CACNG4/MXRA8/TFF1/SLC2A10/CADM1/SOX13/DEPTOR/TFF3/WFS1/NPDC1/RALGPS1/MAPK9/FZD4/KRT19/MEGF9/RHPN1/ERGIC1/KLF2/MTERF2/NUDT4/DLG3/MYO5B/PRR36/PDCL3/MGAT4A/GP1BB/HECTD4
