ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	14	0.8688629949743759	2.289189502927523	7.501713061481402e-8	1.465834732213466e-4	1.3929496674161256e-4	843	tags=71%, list=7%, signal=67%	UGT2B7/UGT1A8/UGT1A9/UGT1A7/UGT1A6/UGT1A5/UGT1A1/UGT1A10/UGT1A3/UGT1A4
LY_AGING_PREMATURE_DN	LY_AGING_PREMATURE_DN	23	-0.7114376659041222	-2.520683152633921	3.5172556022673425e-6	0.0019318494869021137	0.001835792972523476	378	tags=17%, list=3%, signal=17%	PTGS2/ENPP2/MMP3/SERPINB2
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	25	-0.6989007023354363	-2.515865786481959	3.341729811126285e-6	0.0019318494869021137	0.001835792972523476	1281	tags=52%, list=10%, signal=47%	IL10RB/CXCL2/FPR1/CXCL1/PTAFR/PTGS2/IL1RN/CCR1/TNFRSF1B/ICAM1/IL1R2/IL1A/IL1B
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	15	0.8174163727175766	2.1861889899595637	3.954656063259189e-6	0.0019318494869021137	0.001835792972523476	843	tags=67%, list=7%, signal=62%	UGT2B7/UGT1A8/UGT1A9/UGT1A7/UGT1A6/UGT1A5/UGT1A1/UGT1A10/UGT1A3/UGT1A4
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING	WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING	24	-0.7017087667933529	-2.528359654916398	6.0411089096846445e-6	0.002360865361904759	0.002243477077196571	378	tags=25%, list=3%, signal=24%	PTGS2/ICAM1/IL1A/MMP3/MMP9/IL1B
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS	KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS	17	-0.7519921099254464	-2.437939914301949	1.4931035157258803e-5	0.004862540449547283	0.004620762459193776	388	tags=47%, list=3%, signal=46%	IL11/CCR1/TNFRSF1B/IL1R2/IL2RB/IL1A/IL1B/C3
GRATIAS_RETINOBLASTOMA_16Q24	GRATIAS_RETINOBLASTOMA_16Q24	17	-0.741302305965687	-2.4032838329340946	2.6284275292186428e-5	0.007337067702990327	0.006972249866979979	2790	tags=100%, list=23%, signal=77%	ZDHHC7/EMC8/TCF25/MBTPS1/ZCCHC14/ANKRD11/COX4I1/APRT/USP10/CHMP1A/FBXO31/TRAPPC2L/SPG7/MAP1LC3B/SLC7A5/GALNS
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	17	-0.7291833433057798	-2.363994454231103	5.3660063702393076e-5	0.012115371661624763	0.01151296428977325	359	tags=24%, list=3%, signal=23%	C3AR1/IL1A/IL1B/C3
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	16	0.7692220733704414	2.0826080000906124	5.7199197868094494e-5	0.012115371661624763	0.01151296428977325	843	tags=62%, list=7%, signal=58%	UGT2B7/UGT1A8/UGT1A9/UGT1A7/UGT1A6/UGT1A5/UGT1A1/UGT1A10/UGT1A3/UGT1A4
WP_GLUCURONIDATION	WP_GLUCURONIDATION	17	0.7513459998189673	2.064472712932717	6.20029255968514e-5	0.012115371661624763	0.01151296428977325	843	tags=59%, list=7%, signal=55%	UGT2B7/UGT1A8/UGT1A9/UGT1A7/UGT1A6/UGT1A5/UGT1A1/UGT1A10/UGT1A3/UGT1A4
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	10	-0.8084138410559516	-2.2262359003152685	6.832182311034843e-5	0.012136440214329167	0.01153298525996695	1846	tags=80%, list=15%, signal=68%	HSPD1/HLA-A/CPE/PRF1/HLA-DRB1/HLA-DRB5/IL1A/IL1B
KIM_HYPOXIA	KIM_HYPOXIA	15	-0.712733314819241	-2.179213682505256	1.5968414633256211e-4	0.026001901827818866	0.0247090205377754	173	tags=20%, list=1%, signal=20%	ALDOC/PLIN2/ANGPTL4
MIKKELSEN_IPS_ICP_WITH_H3K27ME3	MIKKELSEN_IPS_ICP_WITH_H3K27ME3	14	0.7710880565517915	2.0315823036555987	1.7621668785602475e-4	0.02648672369774403	0.02516973582008321	1748	tags=64%, list=14%, signal=55%	PDE1C/THBS2/PRSS16/ESPN/PCDHB2/NOL4/CNTNAP1/MC3R/FGF14
WP_MATRIX_METALLOPROTEINASES	WP_MATRIX_METALLOPROTEINASES	13	-0.7381237366750889	-2.1568688145220154	2.7748589389041617e-4	0.038729102618705234	0.03680339224230783	741	tags=38%, list=6%, signal=36%	MMP19/MMP12/MMP8/MMP3/MMP9
WP_INFLAMMATORY_RESPONSE_PATHWAY	WP_INFLAMMATORY_RESPONSE_PATHWAY	14	-0.6993451869373745	-2.109149782845156	3.5184404454696e-4	0.045833550869650665	0.043554589093392104	1271	tags=50%, list=10%, signal=45%	LAMB1/FN1/CD40/COL1A2/THBS1/TNFRSF1B/IL2RB
